rms,zcr,centroid,bandwidth,rolloff,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label
0.035749566,0.10884232954545454,2118.627455784923,2434.9636707249415,4595.381303267045,-425.75476,81.37234,37.34131,50.053288,3.8430624,26.79815,18.003817,10.578834,3.9726152,8.712077,9.149388,3.0745935,6.7593675,ripe
0.11667686,0.10910866477272728,2534.5360690873886,2538.125358239022,5025.066583806818,-160.15428,69.64816,24.612658,66.30855,-5.8587146,8.754361,7.429999,7.0099807,0.028032238,14.4111595,-1.6656567,3.0795655,2.9727623,ripe
0.090203315,0.03819691051136364,1549.237302761389,2356.36932751706,3520.6787109375,-265.53665,108.08881,52.89652,41.294052,12.047545,21.722157,10.111024,7.352757,-1.3366925,12.020358,1.3007224,6.812602,2.4165878,ripe
0.10195925,0.2203036221590909,3733.9397038688344,2609.5516409979746,6473.663884943182,-138.72633,32.671383,-3.239628,40.634895,-9.701704,25.273127,-3.8891757,7.363925,6.94899,8.41742,-2.5080068,12.456696,0.7182993,ripe
0.12315555,0.1485262784090909,2876.4678987602088,2321.3707670179942,5221.312366832386,-136.46446,54.651695,-1.5693517,71.1248,-2.6019557,1.8142437,-4.434934,3.1972349,8.286875,5.618974,-1.2289776,14.303962,2.8183434,ripe
0.09748774,0.20920632102272727,3570.3705510901523,2798.7600450571704,6897.965864701705,-251.51527,46.198513,4.2010236,24.722942,-1.2633797,20.078833,-4.055311,-0.19284628,10.217431,4.63908,-0.19336991,12.034499,-9.804648,ripe
0.13148077,0.04612038352272727,1681.6688238726651,2351.530072436081,3949.874600497159,-287.47144,92.12783,48.623905,59.856777,17.559057,25.477386,5.571283,7.4075165,12.965607,12.920368,-0.65578175,4.318851,3.3452394,ripe
0.092092656,0.05018199573863636,1621.3002585793859,2250.0377752398604,3889.190118963068,-321.27316,101.4122,34.968307,51.309486,12.907513,15.771637,11.936858,13.364166,-1.1731404,9.546788,7.9528275,-0.9638596,3.121773,ripe
0.029009722,0.08729137073863637,2147.081927740095,2591.2580541022025,4832.735928622159,-395.0577,64.5961,31.801714,50.738815,10.636124,36.596878,11.956013,8.595931,8.36128,13.616525,8.233694,8.5351715,3.1881468,ripe
0.12174139,0.24840198863636365,3488.9078559211816,2570.7905714376298,6263.225763494318,-201.06078,51.55914,-10.134805,30.956348,-14.6954155,5.944037,-0.24024586,0.97137564,5.3029346,8.472406,-6.0830016,4.0451336,-2.0584211,ripe
0.13088329,0.10154030539772728,2135.556472972348,2241.2320492380563,4365.85693359375,-222.3926,87.50252,8.967635,61.584213,-3.0496743,0.57361794,-4.9294343,14.849626,16.258852,4.916293,-0.68497354,5.9184403,3.0474036,ripe
0.10443506,0.038640802556818184,1574.2466140129554,2228.610677062687,3772.225674715909,-213.58852,108.231445,27.519043,53.22374,3.6083665,19.584438,2.06061,13.0876,3.8142354,0.6714544,4.553948,4.887296,-1.8487816,ripe
0.09170852,0.12082741477272728,2788.0052699938988,2840.297461872247,6200.094327059659,-197.6254,72.10088,26.23374,31.73363,-6.1536374,10.431893,-1.1894547,-4.4106555,2.7335937,0.004535021,2.284982,16.584229,0.6759214,ripe
0.13477752,0.10500266335227272,2588.9176347562952,2365.421308490289,4956.062455610795,-201.86342,58.96193,9.172443,52.73595,1.9604412,11.606013,16.508842,15.178501,2.344838,10.100483,1.9482163,7.13864,-2.0024512,ripe
0.102806024,0.050847833806818184,1752.776964838313,2397.543143611054,4167.653586647727,-196.91925,114.97989,35.01344,29.415083,3.7174346,17.1641,4.4066153,16.353592,-17.916817,8.728,5.856183,1.8178731,3.0422683,ripe
0.12316678,0.16204279119318182,3382.395726428768,2770.17458240413,6529.94384765625,-165.74107,43.229374,36.656055,63.535618,-12.308419,11.771963,-5.0482717,0.9559634,4.380375,4.8007545,-7.211992,15.181308,5.52466,ripe
0.123514265,0.08660333806818182,2360.7944337207377,2454.0875153389907,4752.965198863636,-182.65436,73.64389,21.17155,42.21544,1.6522591,19.879534,-1.9149045,7.6723266,7.5668764,5.3608155,-1.300592,9.251941,-2.1430426,ripe
0.081070326,0.10824307528409091,2288.480451147537,2495.523333856438,4852.800958806818,-291.74326,81.741425,38.516483,49.02595,9.877711,12.620223,12.07936,16.58891,3.2790372,10.810425,-4.2557864,2.2794955,1.93793,ripe
0.12592173,0.06276633522727272,1291.7862492748222,1937.3945099712275,2856.5751509232955,-350.8997,115.84065,49.0182,46.41147,22.701265,11.25702,11.053876,11.062831,4.6567287,4.7615833,5.7926445,0.95097727,2.572618,ripe
0.15248877,0.07257634943181818,1952.2528860274545,2241.9550939629967,4432.414106889205,-141.9566,102.556694,6.9546385,53.748642,-11.347201,14.632117,-1.1202608,12.486933,7.664392,-2.8226943,-5.761712,13.493865,-5.725799,ripe
0.124668024,0.07386363636363637,2072.9567904848295,2390.838916111714,4554.2724609375,-136.30396,100.211235,11.818466,30.176577,-11.657022,9.374063,5.445046,4.5802712,-1.3693999,8.816814,0.6318349,7.838617,-3.1359682,ripe
